loc_x,loc_y,shot_type,shot_made_flag
-185,9,Jump Shot,1.0
237,19,Jump Shot,1.0
-229,19,Jump Shot,1.0
0,0,Layup,0.0
0,0,Dunk,1.0
37,82,Jump Shot,1.0
-42,87,Jump Shot,0.0
28,247,Jump Shot,0.0
7,97,Jump Shot,0.0
0,0,Dunk,1.0
0,0,Layup,0.0
0,0,Dunk,1.0
115,135,Jump Shot,0.0
142,184,Jump Shot,0.0
0,0,Dunk,1.0
0,0,Layup,1.0
79,163,Jump Shot,0.0
142,141,Jump Shot,1.0
30,125,Jump Shot,0.0
-60,97,Jump Shot,1.0
0,0,Layup,0.0
115,245,Jump Shot,0.0
-132,184,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,0.0
-25,76,Jump Shot,1.0
-145,108,Jump Shot,0.0
-208,-29,Jump Shot,0.0
-105,148,Jump Shot,1.0
-48,175,Jump Shot,0.0
-77,247,Jump Shot,0.0
0,0,Layup,1.0
0,0,Layup,0.0
0,0,Dunk,1.0
142,226,Jump Shot,1.0
0,0,Dunk,1.0
-63,171,Jump Shot,1.0
0,0,Dunk,1.0
64,175,Jump Shot,1.0
0,0,Dunk,1.0
0,0,Layup,1.0
115,236,Jump Shot,1.0
0,0,Dunk,0.0
163,7,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,1.0
0,0,Layup,1.0
64,40,Jump Shot,0.0
-105,-2,Jump Shot,1.0
0,0,Layup,1.0
64,95,Jump Shot,1.0
-132,2,Jump Shot,1.0
73,17,Jump Shot,0.0
0,0,Dunk,1.0
-132,154,Jump Shot,0.0
0,0,Layup,1.0
235,23,Jump Shot,0.0
28,175,Jump Shot,1.0
184,171,Jump Shot,1.0
127,61,Jump Shot,0.0
28,89,Jump Shot,1.0
-84,213,Jump Shot,1.0
-119,144,Jump Shot,1.0
0,110,Jump Shot,0.0
0,0,Layup,1.0
127,80,Jump Shot,0.0
-143,219,Jump Shot,1.0
77,141,Jump Shot,1.0
-6,70,Jump Shot,1.0
0,0,Layup,1.0
0,0,Layup,1.0
144,215,Jump Shot,1.0
-63,177,Jump Shot,0.0
100,259,Jump Shot,0.0
-48,78,Jump Shot,1.0
153,198,Jump Shot,0.0
-56,21,Layup,1.0
0,0,Layup,0.0
201,11,Jump Shot,1.0
243,34,Jump Shot,1.0
123,232,Jump Shot,1.0
-157,137,Jump Shot,1.0
138,110,Jump Shot,0.0
102,137,Jump Shot,0.0
186,17,Jump Shot,0.0
0,0,Layup,1.0
0,0,Dunk,1.0
142,245,Jump Shot,0.0
-33,70,Jump Shot,0.0
-12,42,Jump Shot,0.0
121,104,Jump Shot,0.0
0,0,Layup,1.0
79,163,Jump Shot,0.0
-94,0,Jump Shot,0.0
-124,135,Jump Shot,1.0
0,0,Dunk,0.0
108,409,Jump Shot,0.0
-67,135,Jump Shot,0.0
-160,224,Jump Shot,1.0
-134,9,Jump Shot,1.0
-122,15,Jump Shot,0.0
-101,116,Jump Shot,0.0
-29,19,Jump Shot,1.0
-50,245,Jump Shot,0.0
-150,466,Jump Shot,0.0
-29,13,Layup,0.0
-35,19,Jump Shot,0.0
-35,19,Jump Shot,0.0
0,0,Dunk,1.0
167,207,Jump Shot,0.0
0,0,Dunk,1.0
60,177,Jump Shot,1.0
0,0,Layup,1.0
-86,253,Jump Shot,0.0
172,68,Jump Shot,1.0
-50,28,Jump Shot,0.0
-86,165,Jump Shot,1.0
-79,28,Jump Shot,0.0
0,0,Dunk,1.0
18,144,Jump Shot,0.0
123,55,Jump Shot,0.0
0,0,Layup,0.0
-170,-15,Jump Shot,0.0
159,116,Jump Shot,1.0
32,148,Jump Shot,1.0
5,198,Jump Shot,0.0
-149,247,Jump Shot,0.0
0,0,Layup,1.0
-79,133,Jump Shot,1.0
-23,40,Jump Shot,0.0
66,154,Jump Shot,1.0
-86,257,Jump Shot,1.0
75,198,Jump Shot,0.0
0,0,Dunk,1.0
-58,68,Jump Shot,1.0
60,61,Jump Shot,1.0
117,253,Jump Shot,1.0
-50,17,Jump Shot,0.0
0,0,Dunk,1.0
18,209,Jump Shot,0.0
-136,160,Jump Shot,1.0
60,127,Jump Shot,1.0
87,133,Jump Shot,0.0
39,82,Jump Shot,1.0
-149,2,Jump Shot,0.0
110,243,Jump Shot,1.0
110,13,Jump Shot,1.0
11,82,Jump Shot,0.0
-16,55,Jump Shot,0.0
237,2,Jump Shot,0.0
11,198,Jump Shot,0.0
-185,127,Jump Shot,1.0
0,0,Dunk,0.0
11,89,Jump Shot,1.0
18,160,Jump Shot,0.0
0,0,Dunk,1.0
-98,285,Jump Shot,0.0
-157,45,Jump Shot,1.0
-92,186,Jump Shot,1.0
-149,28,Jump Shot,0.0
75,28,Jump Shot,1.0
138,13,Jump Shot,0.0
0,0,Tip Shot,1.0
0,0,Layup,1.0
-115,110,Jump Shot,1.0
0,0,Dunk,1.0
-65,165,Jump Shot,1.0
81,133,Jump Shot,1.0
138,110,Jump Shot,0.0
231,394,Jump Shot,0.0
5,205,Jump Shot,0.0
-44,148,Jump Shot,0.0
18,23,Layup,1.0
123,89,Jump Shot,1.0
-92,127,Jump Shot,0.0
0,0,Layup,1.0
32,257,Jump Shot,0.0
33,78,Jump Shot,0.0
-212,64,Jump Shot,0.0
123,148,Jump Shot,0.0
0,0,Layup,0.0
-122,137,Jump Shot,1.0
123,-15,Jump Shot,1.0
-149,-15,Jump Shot,1.0
237,40,Jump Shot,1.0
-1,160,Jump Shot,0.0
-176,-15,Jump Shot,0.0
0,0,Layup,1.0
39,192,Jump Shot,1.0
0,0,Dunk,1.0
60,17,Jump Shot,1.0
150,116,Jump Shot,1.0
102,160,Jump Shot,0.0
0,0,Tip Shot,0.0
-4,167,Jump Shot,1.0
-168,-21,Jump Shot,0.0
1,49,Jump Shot,0.0
144,0,Jump Shot,1.0
-31,61,Jump Shot,0.0
0,0,Layup,1.0
180,4,Jump Shot,1.0
159,0,Jump Shot,0.0
0,0,Layup,0.0
-18,21,Layup,0.0
0,0,Layup,1.0
231,-4,Jump Shot,1.0
-39,21,Jump Shot,0.0
96,139,Jump Shot,1.0
-60,167,Jump Shot,0.0
-231,-4,Jump Shot,1.0
1,78,Jump Shot,1.0
-231,4,Jump Shot,0.0
-225,-21,Jump Shot,0.0
-73,78,Jump Shot,1.0
-60,156,Jump Shot,0.0
-189,4,Jump Shot,0.0
30,251,Jump Shot,0.0
-147,-4,Jump Shot,1.0
0,0,Dunk,1.0
-153,0,Jump Shot,1.0
108,11,Jump Shot,1.0
-96,318,Jump Shot,0.0
26,55,Jump Shot,1.0
172,99,Jump Shot,0.0
11,175,Jump Shot,0.0
75,175,Jump Shot,1.0
-50,68,Jump Shot,1.0
186,-2,Jump Shot,0.0
0,0,Dunk,1.0
0,0,Layup,1.0
159,116,Jump Shot,0.0
0,0,Layup,1.0
60,192,Jump Shot,0.0
-44,13,Jump Shot,0.0
172,-2,Jump Shot,0.0
102,133,Jump Shot,1.0
-23,127,Jump Shot,1.0
123,144,Jump Shot,0.0
138,209,Jump Shot,0.0
-58,17,Jump Shot,0.0
-71,192,Jump Shot,0.0
-1,72,Jump Shot,0.0
-145,21,Jump Shot,0.0
123,181,Jump Shot,1.0
-130,160,Jump Shot,0.0
0,0,Dunk,1.0
-115,247,Jump Shot,1.0
132,120,Jump Shot,1.0
-170,40,Jump Shot,0.0
0,0,Layup,1.0
-176,318,Jump Shot,0.0
66,127,Jump Shot,1.0
0,0,Dunk,1.0
-143,198,Jump Shot,1.0
102,137,Jump Shot,1.0
-10,61,Jump Shot,1.0
-10,247,Jump Shot,0.0
138,110,Jump Shot,1.0
0,0,Layup,0.0
60,133,Jump Shot,0.0
-185,99,Jump Shot,0.0
-1,78,Jump Shot,0.0
-23,61,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,0.0
0,0,Layup,1.0
75,23,Jump Shot,0.0
0,0,Layup,0.0
0,0,Dunk,0.0
11,175,Jump Shot,1.0
0,0,Dunk,1.0
-197,28,Jump Shot,0.0
0,0,Layup,1.0
138,110,Jump Shot,0.0
11,291,Jump Shot,0.0
-98,253,Jump Shot,1.0
-122,236,Jump Shot,0.0
110,127,Jump Shot,0.0
81,175,Jump Shot,0.0
110,23,Jump Shot,0.0
32,61,Jump Shot,1.0
153,232,Jump Shot,1.0
87,28,Jump Shot,0.0
-130,219,Jump Shot,1.0
144,219,Jump Shot,0.0
-107,247,Jump Shot,0.0
-86,13,Jump Shot,0.0
-136,7,Jump Shot,0.0
-71,45,Jump Shot,0.0
-71,270,Jump Shot,0.0
-27,34,Jump Shot,1.0
-27,91,Jump Shot,1.0
0,0,Layup,0.0
0,0,Layup,1.0
0,0,Layup,1.0
81,15,Jump Shot,0.0
81,4,Jump Shot,1.0
-4,72,Jump Shot,0.0
96,152,Jump Shot,1.0
0,0,Layup,1.0
-12,51,Jump Shot,0.0
108,-15,Jump Shot,0.0
1,51,Jump Shot,0.0
-122,198,Jump Shot,0.0
81,148,Jump Shot,0.0
191,4,Jump Shot,1.0
167,-4,Jump Shot,0.0
-42,11,Jump Shot,1.0
0,0,Layup,1.0
0,0,Dunk,1.0
-56,238,Jump Shot,0.0
0,0,Layup,1.0
0,0,Layup,0.0
-115,127,Jump Shot,0.0
-136,-2,Jump Shot,0.0
-58,55,Jump Shot,0.0
75,106,Jump Shot,1.0
110,226,Jump Shot,1.0
-157,192,Jump Shot,0.0
102,154,Jump Shot,0.0
0,0,Layup,1.0
0,0,Dunk,1.0
0,0,Layup,0.0
138,82,Jump Shot,0.0
0,0,Layup,0.0
39,175,Jump Shot,1.0
0,0,Dunk,1.0
-141,11,Jump Shot,0.0
0,0,Layup,1.0
-206,-4,Jump Shot,1.0
-149,38,Jump Shot,1.0
-176,122,Jump Shot,0.0
153,127,Jump Shot,1.0
-4,255,Jump Shot,1.0
-155,38,Jump Shot,0.0
144,127,Jump Shot,0.0
100,620,Jump Shot,0.0
0,0,Layup,1.0
16,209,Jump Shot,1.0
-191,165,Jump Shot,0.0
0,0,Layup,1.0
1,72,Jump Shot,1.0
-176,93,Jump Shot,0.0
1,160,Jump Shot,1.0
159,45,Jump Shot,0.0
-206,89,Jump Shot,1.0
237,21,Jump Shot,0.0
129,4,Jump Shot,0.0
-4,255,Jump Shot,0.0
123,49,Jump Shot,0.0
0,0,Layup,1.0
-130,-2,Jump Shot,0.0
-115,127,Jump Shot,0.0
-56,0,Jump Shot,1.0
0,0,Layup,1.0
62,116,Jump Shot,1.0
47,236,Jump Shot,0.0
161,181,Jump Shot,0.0
56,47,Jump Shot,1.0
125,165,Jump Shot,0.0
153,23,Jump Shot,1.0
24,47,Jump Shot,0.0
0,0,Layup,0.0
-71,137,Jump Shot,1.0
32,7,Jump Shot,1.0
-157,23,Jump Shot,0.0
-109,171,Jump Shot,1.0
110,116,Jump Shot,0.0
0,0,Layup,1.0
182,-23,Jump Shot,0.0
0,0,Layup,0.0
83,0,Jump Shot,0.0
-149,148,Jump Shot,1.0
-63,198,Jump Shot,1.0
0,0,Layup,1.0
1,129,Jump Shot,1.0
123,228,Jump Shot,1.0
0,0,Dunk,1.0
0,0,Dunk,1.0
79,181,Jump Shot,1.0
0,0,Layup,1.0
41,30,Jump Shot,0.0
-94,89,Jump Shot,1.0
98,196,Jump Shot,0.0
0,0,Layup,1.0
-107,19,Jump Shot,1.0
136,30,Jump Shot,0.0
-73,179,Jump Shot,0.0
0,0,Dunk,1.0
20,63,Jump Shot,1.0
0,0,Dunk,1.0
106,63,Jump Shot,1.0
49,207,Jump Shot,1.0
-136,99,Jump Shot,1.0
140,116,Jump Shot,0.0
-166,15,Jump Shot,1.0
0,0,Tip Shot,1.0
0,0,Dunk,1.0
0,0,Layup,1.0
226,9,Jump Shot,1.0
-115,150,Jump Shot,0.0
146,55,Jump Shot,1.0
-65,222,Jump Shot,1.0
-1,160,Jump Shot,0.0
-130,76,Jump Shot,0.0
-130,177,Jump Shot,1.0
-151,0,Jump Shot,0.0
176,-13,Jump Shot,0.0
-187,66,Jump Shot,1.0
81,17,Jump Shot,1.0
81,165,Jump Shot,0.0
117,171,Jump Shot,1.0
-157,198,Jump Shot,0.0
45,110,Jump Shot,0.0
0,0,Layup,1.0
144,154,Jump Shot,1.0
45,51,Jump Shot,1.0
-136,-19,Jump Shot,0.0
5,137,Jump Shot,1.0
94,160,Jump Shot,0.0
45,120,Jump Shot,1.0
-157,226,Jump Shot,0.0
123,154,Jump Shot,0.0
144,219,Jump Shot,0.0
144,232,Jump Shot,0.0
117,160,Jump Shot,1.0
39,40,Jump Shot,0.0
-84,215,Jump Shot,0.0
-105,21,Jump Shot,1.0
100,0,Jump Shot,1.0
138,4,Jump Shot,0.0
94,21,Jump Shot,0.0
159,192,Jump Shot,1.0
0,0,Layup,1.0
-141,28,Jump Shot,1.0
167,68,Jump Shot,1.0
1,175,Jump Shot,0.0
1,243,Jump Shot,1.0
-4,97,Jump Shot,0.0
123,72,Jump Shot,1.0
-141,205,Jump Shot,1.0
0,0,Layup,1.0
195,-4,Jump Shot,1.0
159,0,Jump Shot,0.0
201,21,Jump Shot,0.0
174,45,Jump Shot,1.0
-141,222,Jump Shot,1.0
195,160,Jump Shot,0.0
0,0,Dunk,1.0
-162,45,Jump Shot,0.0
-12,55,Jump Shot,0.0
1,255,Jump Shot,1.0
0,0,Layup,1.0
64,49,Jump Shot,1.0
-141,205,Jump Shot,0.0
-71,238,Jump Shot,0.0
-141,228,Jump Shot,0.0
129,15,Jump Shot,0.0
-50,236,Jump Shot,0.0
-130,-19,Jump Shot,1.0
-143,-29,Jump Shot,0.0
-143,209,Jump Shot,0.0
144,2,Jump Shot,0.0
153,95,Jump Shot,1.0
-107,99,Jump Shot,0.0
94,82,Jump Shot,1.0
0,0,Dunk,1.0
159,116,Jump Shot,0.0
0,0,Dunk,1.0
0,0,Dunk,1.0
-16,291,Jump Shot,0.0
110,236,Jump Shot,0.0
153,110,Jump Shot,1.0
0,0,Dunk,1.0
102,243,Jump Shot,1.0
-227,13,Jump Shot,1.0
45,209,Jump Shot,0.0
-143,198,Jump Shot,0.0
0,0,Layup,1.0
-176,34,Jump Shot,1.0
54,133,Jump Shot,1.0
102,116,Jump Shot,1.0
0,0,Layup,0.0
45,154,Jump Shot,0.0
-44,127,Jump Shot,0.0
-170,-15,Jump Shot,1.0
165,-15,Jump Shot,0.0
54,61,Jump Shot,1.0
-130,40,Jump Shot,1.0
0,0,Dunk,1.0
26,72,Jump Shot,1.0
193,34,Jump Shot,0.0
-79,205,Jump Shot,0.0
94,243,Jump Shot,0.0
237,61,Jump Shot,0.0
54,257,Jump Shot,0.0
-10,133,Jump Shot,1.0
-71,154,Jump Shot,0.0
-44,205,Jump Shot,0.0
172,181,Jump Shot,0.0
-107,154,Jump Shot,1.0
207,-15,Jump Shot,1.0
81,78,Jump Shot,0.0
0,0,Layup,0.0
-157,-2,Jump Shot,1.0
-98,2,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,1.0
123,270,Jump Shot,0.0
144,13,Jump Shot,1.0
-115,-23,Jump Shot,0.0
0,0,Layup,0.0
66,243,Jump Shot,0.0
159,99,Jump Shot,1.0
-130,17,Jump Shot,1.0
117,154,Jump Shot,0.0
-107,224,Jump Shot,0.0
11,241,Jump Shot,0.0
182,-8,Jump Shot,1.0
153,-4,Jump Shot,1.0
0,0,Layup,1.0
182,36,Jump Shot,1.0
115,112,Jump Shot,0.0
153,207,Jump Shot,0.0
-25,177,Jump Shot,0.0
-107,26,Jump Shot,0.0
-54,19,Jump Shot,1.0
167,-8,Jump Shot,1.0
85,184,Jump Shot,0.0
-128,-15,Jump Shot,0.0
123,171,Jump Shot,1.0
-16,247,Jump Shot,0.0
214,112,Jump Shot,0.0
-122,17,Jump Shot,0.0
94,175,Jump Shot,0.0
-122,137,Jump Shot,1.0
123,160,Jump Shot,1.0
-37,165,Jump Shot,1.0
144,99,Jump Shot,0.0
-92,160,Jump Shot,1.0
-1,68,Jump Shot,1.0
-164,181,Jump Shot,0.0
138,213,Jump Shot,0.0
0,0,Dunk,1.0
180,55,Jump Shot,0.0
-136,23,Jump Shot,0.0
54,253,Jump Shot,0.0
-122,154,Jump Shot,0.0
-130,-15,Jump Shot,1.0
-149,61,Jump Shot,1.0
0,0,Layup,0.0
-164,28,Jump Shot,1.0
-164,-19,Jump Shot,0.0
172,17,Jump Shot,0.0
-136,154,Jump Shot,1.0
66,219,Jump Shot,0.0
54,160,Jump Shot,0.0
-157,192,Jump Shot,0.0
45,148,Jump Shot,1.0
87,175,Jump Shot,1.0
144,120,Jump Shot,0.0
0,0,Layup,1.0
87,154,Jump Shot,0.0
0,0,Layup,1.0
0,0,Layup,0.0
-1,61,Jump Shot,1.0
-122,133,Jump Shot,1.0
-44,219,Jump Shot,0.0
117,2,Jump Shot,0.0
-130,-2,Jump Shot,1.0
-122,7,Jump Shot,0.0
0,0,Layup,1.0
-122,148,Jump Shot,1.0
-31,78,Jump Shot,1.0
60,175,Jump Shot,1.0
102,175,Jump Shot,0.0
-92,192,Jump Shot,0.0
117,2,Jump Shot,1.0
32,51,Jump Shot,0.0
0,0,Dunk,1.0
5,110,Jump Shot,1.0
123,154,Jump Shot,1.0
26,116,Jump Shot,1.0
-185,171,Jump Shot,0.0
-176,82,Jump Shot,0.0
102,133,Jump Shot,0.0
138,213,Jump Shot,1.0
87,165,Jump Shot,1.0
-122,34,Jump Shot,0.0
26,116,Jump Shot,1.0
110,171,Jump Shot,0.0
-149,55,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,0.0
165,205,Jump Shot,0.0
1,148,Jump Shot,0.0
-147,141,Jump Shot,0.0
-63,0,Jump Shot,1.0
85,135,Jump Shot,1.0
129,-6,Jump Shot,0.0
-48,15,Jump Shot,0.0
157,63,Jump Shot,0.0
-105,9,Jump Shot,0.0
0,0,Layup,0.0
-12,257,Jump Shot,0.0
85,245,Jump Shot,0.0
43,196,Jump Shot,0.0
150,76,Jump Shot,0.0
-63,4,Jump Shot,1.0
0,0,Layup,1.0
-149,55,Jump Shot,0.0
39,89,Jump Shot,0.0
0,0,Tip Shot,0.0
138,120,Jump Shot,0.0
-31,68,Jump Shot,0.0
32,51,Jump Shot,1.0
0,0,Dunk,1.0
-44,13,Jump Shot,1.0
-107,-2,Jump Shot,1.0
-16,270,Jump Shot,0.0
117,181,Jump Shot,1.0
0,0,Layup,0.0
0,0,Layup,0.0
-10,205,Jump Shot,1.0
142,40,Jump Shot,1.0
-240,0,Jump Shot,1.0
-23,264,Jump Shot,0.0
157,17,Jump Shot,0.0
-138,122,Jump Shot,1.0
32,188,Jump Shot,0.0
0,0,Layup,0.0
134,66,Jump Shot,0.0
-183,23,Jump Shot,0.0
0,0,Layup,1.0
-132,122,Jump Shot,0.0
0,0,Dunk,1.0
0,0,Layup,0.0
0,0,Layup,1.0
-153,34,Jump Shot,1.0
-138,89,Jump Shot,0.0
0,0,Layup,0.0
0,0,Tip Shot,1.0
0,0,Layup,1.0
0,0,Layup,1.0
-109,247,Jump Shot,0.0
115,-8,Jump Shot,1.0
-77,127,Jump Shot,1.0
159,-19,Jump Shot,0.0
51,-2,Jump Shot,1.0
-92,116,Jump Shot,0.0
-155,-8,Jump Shot,0.0
7,7,Layup,1.0
115,23,Jump Shot,0.0
-134,7,Jump Shot,0.0
-12,13,Layup,0.0
-4,40,Jump Shot,0.0
1,-8,Dunk,1.0
51,13,Jump Shot,0.0
-33,150,Jump Shot,1.0
-141,0,Jump Shot,1.0
1,127,Jump Shot,0.0
-162,40,Jump Shot,0.0
7,47,Jump Shot,0.0
1,144,Jump Shot,1.0
180,-13,Jump Shot,0.0
-136,61,Jump Shot,1.0
113,125,Jump Shot,0.0
0,0,Layup,0.0
1,228,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,0.0
0,0,Layup,0.0
-164,23,Jump Shot,0.0
-143,118,Jump Shot,0.0
121,45,Jump Shot,1.0
0,0,Layup,1.0
0,0,Layup,0.0
0,0,Layup,1.0
172,192,Jump Shot,1.0
0,0,Layup,0.0
-79,181,Jump Shot,1.0
0,0,Layup,0.0
0,0,Layup,1.0
159,40,Jump Shot,1.0
0,0,Layup,0.0
132,89,Jump Shot,0.0
0,0,Layup,1.0
144,23,Jump Shot,1.0
5,78,Jump Shot,1.0
0,0,Tip Shot,1.0
11,95,Jump Shot,1.0
-58,181,Jump Shot,0.0
0,0,Layup,0.0
11,312,Jump Shot,0.0
-149,89,Jump Shot,0.0
117,144,Jump Shot,1.0
132,171,Jump Shot,1.0
0,0,Layup,1.0
0,0,Layup,0.0
132,127,Jump Shot,0.0
-107,110,Jump Shot,0.0
0,0,Dunk,1.0
-197,17,Jump Shot,1.0
-111,135,Jump Shot,0.0
85,2,Jump Shot,0.0
-84,169,Jump Shot,0.0
121,175,Jump Shot,1.0
14,141,Jump Shot,0.0
0,0,Layup,0.0
127,163,Jump Shot,0.0
0,0,Layup,0.0
-204,-8,Jump Shot,1.0
106,163,Jump Shot,0.0
-160,34,Jump Shot,0.0
142,146,Jump Shot,1.0
-27,85,Jump Shot,0.0
-27,61,Jump Shot,1.0
49,23,Jump Shot,0.0
127,169,Jump Shot,0.0
241,13,Jump Shot,0.0
0,0,Dunk,1.0
163,7,Jump Shot,0.0
-27,141,Jump Shot,0.0
-54,57,Jump Shot,0.0
-132,61,Jump Shot,0.0
-54,192,Jump Shot,1.0
-6,203,Jump Shot,0.0
22,304,Jump Shot,1.0
0,0,Dunk,1.0
134,-25,Jump Shot,0.0
-132,108,Jump Shot,1.0
106,696,Jump Shot,0.0
-132,-2,Jump Shot,1.0
73,112,Jump Shot,0.0
0,0,Dunk,1.0
0,0,Layup,1.0
127,125,Jump Shot,1.0
0,0,Dunk,1.0
-141,-15,Jump Shot,0.0
0,0,Layup,0.0
-141,2,Jump Shot,1.0
-174,28,Jump Shot,0.0
0,0,Layup,1.0
-111,57,Jump Shot,0.0
0,0,Layup,0.0
-111,34,Jump Shot,1.0
58,203,Jump Shot,0.0
28,179,Jump Shot,0.0
0,0,Layup,1.0
0,0,Layup,1.0
73,87,Jump Shot,1.0
0,0,Layup,0.0
0,0,Layup,1.0
37,99,Jump Shot,0.0
-170,15,Jump Shot,1.0
0,0,Layup,0.0
-92,4,Jump Shot,1.0
180,177,Jump Shot,0.0
-134,11,Jump Shot,1.0
-12,264,Jump Shot,1.0
0,0,Layup,1.0
0,0,Layup,1.0
0,0,Layup,1.0
1,184,Jump Shot,0.0
-141,219,Jump Shot,0.0
0,0,Layup,0.0
144,34,Jump Shot,0.0
0,0,Layup,0.0
0,0,Layup,1.0
167,0,Jump Shot,0.0
0,0,Dunk,1.0
-16,268,Jump Shot,1.0
-151,93,Jump Shot,0.0
0,0,Layup,1.0
153,99,Jump Shot,1.0
-151,87,Jump Shot,0.0
-29,110,Jump Shot,1.0
153,4,Jump Shot,0.0
0,0,Layup,1.0
